batch_id,compound,purity_pct,lab,test_date,coa_url,lab_verify_url
89714,Retatrutide,99.88,JanoShik,2025-12-15,https://eastcoastlabs.com.au/coa/Reta10mg-Dec25.pdf,https://www.janoshik.com/verify/89714
89201,Semaglutide,99.72,JanoShik,2025-11-28,https://eastcoastlabs.com.au/coa/Sema5mg-Nov25.pdf,https://www.janoshik.com/verify/89201
89556,Tirzepatide,99.65,JanoShik,2025-12-10,https://eastcoastlabs.com.au/coa/Tirz10mg-Dec25.pdf,https://www.janoshik.com/verify/89556
88934,BPC-157,99.82,JanoShik,2025-11-15,https://eastcoastlabs.com.au/coa/BPC157-Nov25.pdf,https://www.janoshik.com/verify/88934
89120,TB-500,99.45,JanoShik,2025-11-20,https://eastcoastlabs.com.au/coa/TB500-Nov25.pdf,https://www.janoshik.com/verify/89120
89378,GHK-Cu,99.18,JanoShik,2025-12-01,https://eastcoastlabs.com.au/coa/GHKCu-Dec25.pdf,https://www.janoshik.com/verify/89378
88890,Tesamorelin,99.55,JanoShik,2025-11-10,https://eastcoastlabs.com.au/coa/Tesa-Nov25.pdf,https://www.janoshik.com/verify/88890
89601,MOTS-C,99.33,JanoShik,2025-12-08,https://eastcoastlabs.com.au/coa/MOTS-C-Dec25.pdf,https://www.janoshik.com/verify/89601
89450,Selank,99.67,JanoShik,2025-12-05,https://eastcoastlabs.com.au/coa/Selank-Dec25.pdf,https://www.janoshik.com/verify/89450
89015,Semax,99.41,JanoShik,2025-11-18,https://eastcoastlabs.com.au/coa/Semax-Nov25.pdf,https://www.janoshik.com/verify/89015
89789,IGF-1 LR3,99.76,JanoShik,2025-12-18,https://eastcoastlabs.com.au/coa/IGF1LR3-Dec25.pdf,https://www.janoshik.com/verify/89789
89845,KLOW,99.91,JanoShik,2025-12-20,https://eastcoastlabs.com.au/coa/KLOW-Dec25.pdf,https://www.janoshik.com/verify/89845
89670,GLOW,99.60,JanoShik,2025-12-12,https://eastcoastlabs.com.au/coa/GLOW-Dec25.pdf,https://www.janoshik.com/verify/89670
89300,MT2,99.29,JanoShik,2025-11-30,https://eastcoastlabs.com.au/coa/MT2-Nov25.pdf,https://www.janoshik.com/verify/89300
